csv_row_index,symbol,trade_type,first_message_timestamp,capital_before,capital_after,trade_amount,position_size,entry_price,entry_time,exit_price,exit_time,trade_open_price,trade_close_price,trade_open_time,trade_close_time,exit_reason,target_price,stop_price,hold_time_hours,hold_time_minutes,pnl_percent,pnl_amount,profit_target_pct,stop_loss_pct,max_hold_hours,data_points_used,total_data_points,error
0,IO,LONG,2024-06-11 14:49:01+00:00,2000.0,2300.0,2000.0,590.8419497784344,3.385,2024-06-11T14:50:00+00:00,3.8927499999999995,2024-06-11T15:35:00+00:00,3.385,3.8927499999999995,2024-06-11T14:50:00+00:00,2024-06-11T15:35:00+00:00,target_hit,3.8927499999999995,3.3173,0.75,45.0,15.0,300.0,15.0,2.0,1.0,10.0,576.0,
1,GME,,2024-06-11 15:10:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
2,DOP1,,2024-07-10 09:53:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
3,MOCA,LONG,2024-07-12 10:53:49+00:00,2300.0,2521.936827490455,2300.0,19958.3477959042,0.11524,2024-07-12T10:55:00+00:00,0.12636,2024-07-12T11:55:00+00:00,0.11524,0.12636,2024-07-12T10:55:00+00:00,2024-07-12T11:55:00+00:00,time_limit,0.13252599999999998,0.1129352,1.0,60.0,9.65,221.94,15.0,2.0,1.0,13.0,576.0,
4,AERO,LONG,2024-07-15 09:45:38+00:00,2521.936827490455,2471.4980909406463,2521.936827490455,3098.202490774515,0.814,2024-07-15T09:50:00+00:00,0.79772,2024-07-15T10:35:00+00:00,0.814,0.79772,2024-07-15T09:50:00+00:00,2024-07-15T10:35:00+00:00,stop_loss_hit,0.9360999999999998,0.79772,0.75,45.0,-2.0,-50.44,15.0,2.0,1.0,10.0,576.0,
5,PRCL,LONG,2024-07-17 10:11:30+00:00,2471.4980909406463,2422.0681291218334,2471.4980909406463,9053.106560222146,0.273,2024-07-17T10:15:00+00:00,0.26754,2024-07-17T10:20:00+00:00,0.273,0.26754,2024-07-17T10:15:00+00:00,2024-07-17T10:20:00+00:00,stop_loss_hit,0.31395,0.26754,0.08,5.0,-2.0,-49.43,15.0,2.0,1.0,2.0,576.0,
6,CLOUD,LONG,2024-07-19 10:14:45+00:00,2422.0681291218334,2373.6267665393966,2422.0681291218334,7735.765343729906,0.3131,2024-07-19T10:15:00+00:00,0.306838,2024-07-19T10:20:00+00:00,0.3131,0.306838,2024-07-19T10:15:00+00:00,2024-07-19T10:20:00+00:00,stop_loss_hit,0.36006499999999997,0.306838,0.08,5.0,-2.0,-48.44,15.0,2.0,1.0,2.0,576.0,
7,UXLINK,,2024-07-19 10:25:46+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
8,BANANA,LONG,2024-07-19 11:36:52+00:00,2373.6267665393966,2404.231124591193,2373.6267665393966,34.738204372073305,68.329,2024-07-19T11:40:00+00:00,69.21,2024-07-19T12:40:00+00:00,68.329,69.21,2024-07-19T11:40:00+00:00,2024-07-19T12:40:00+00:00,time_limit,78.57834999999999,66.96242,1.0,60.0,1.29,30.6,15.0,2.0,1.0,13.0,576.0,
9,PIRATE,,2024-07-22 11:15:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
