symbol,timestamp,coin_name,message,exchange,listing_announcement_time,actual_start_time,opening_price,closing_price,highest_price,lowest_price,highest_gain_percent,lowest_gain_percent,highest_price_time_min,lowest_price_time_min,data_points_count,analysis_period,price_data_saved,error
IOUSDT,2024-06-11 14:49:01+00:00,IO,$IO listed on Bybit futures,bybit,2024-06-11T14:49:01+00:00,2024-06-11T14:50:00+00:00,3.385,4.925,6.537,3.382,93.12,-0.09,1825.0,0.0,576.0,48 hours from listing announcement (5m intervals),IOUSDT.json,
GMEUSDT,2024-06-11 15:10:01+00:00,GME,$GME listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
DOP1USDT,2024-07-10 09:53:23+00:00,DOP1,$DOP1 listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
MOCAUSDT,2024-07-12 10:53:49+00:00,MOCA,$MOCA listed on Bybit futures,bybit,2024-07-12T10:53:49+00:00,2024-07-12T10:55:00+00:00,0.11524,0.10973,0.12976,0.10473,12.6,-9.12,5.0,1275.0,576.0,48 hours from listing announcement (5m intervals),MOCAUSDT.json,
AEROUSDT,2024-07-15 09:45:38+00:00,AERO,$AERO listed on Bybit futures,bybit,2024-07-15T09:45:38+00:00,2024-07-15T09:50:00+00:00,0.814,0.9395,0.9396,0.7357,15.43,-9.62,2875.0,45.0,576.0,48 hours from listing announcement (5m intervals),AEROUSDT.json,
PRCLUSDT,2024-07-17 10:11:30+00:00,PRCL,$PRCL listed on Bybit futures,bybit,2024-07-17T10:11:30+00:00,2024-07-17T10:15:00+00:00,0.273,0.2525,0.2905,0.2454,6.41,-10.11,55.0,2845.0,576.0,48 hours from listing announcement (5m intervals),PRCLUSDT.json,
CLOUDUSDT,2024-07-19 10:14:45+00:00,CLOUD,$CLOUD listed on Bybit futures,bybit,2024-07-19T10:14:45+00:00,2024-07-19T10:15:00+00:00,0.3131,0.3086,0.3378,0.3,7.89,-4.18,220.0,2195.0,576.0,48 hours from listing announcement (5m intervals),CLOUDUSDT.json,
UXLINKUSDT,2024-07-19 10:25:46+00:00,UXLINK,$UXLINK listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
BANANAUSDT,2024-07-19 11:36:52+00:00,BANANA,$BANANA listed on Bybit futures,bybit,2024-07-19T11:36:52+00:00,2024-07-19T11:40:00+00:00,68.329,60.99,79.4,60.0,16.2,-12.19,1130.0,2625.0,576.0,48 hours from listing announcement (5m intervals),BANANAUSDT.json,
PIRATEUSDT,2024-07-22 11:15:28+00:00,PIRATE,$PIRATE listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
A8USDT,2024-07-22 12:06:33+00:00,A8,$A8 listed on Bybit futures,bybit,2024-07-22T12:06:33+00:00,2024-07-22T12:10:00+00:00,0.237,0.2,0.259,0.1908,9.28,-19.49,50.0,2150.0,576.0,48 hours from listing announcement (5m intervals),A8USDT.json,
AVAILUSDT,2024-07-23 15:20:13+00:00,AVAIL,$AVAIL listed on Bybit futures,bybit,2024-07-23T15:20:13+00:00,2024-07-23T15:25:00+00:00,0.14526,0.19382,0.24593,0.12463,69.3,-14.2,1670.0,90.0,576.0,48 hours from listing announcement (5m intervals),AVAILUSDT.json,
